FERMAT - primes
bits,average time,expected,result
40,0.0004980564117431641,true,true
80,0.002004384994506836,true,true
128,0.004975557327270508,true,true
168,0.007519364356994629,true,true
224,0.01348257064819336,true,true
256,0.014024496078491211,true,true
512,0.06848597526550293,true,true
1024,0.3784787654876709,true,true
FERMAT - not primes
bits,average time,expected,result
40,0.0,false,false
80,0.0,false,false
128,0.0,false,false
168,0.0004992485046386719,false,false
224,0.0004992485046386719,false,false
256,0.0004992485046386719,false,false
512,0.001498579978942871,false,false
1024,0.004998564720153809,false,false
