MILLER-RABIN - primes
bits,average time,expected,result
40,0.0005005598068237305,true,true
80,0.0019992589950561523,true,true
128,0.004999399185180664,true,true
168,0.007501363754272461,true,true
224,0.014499902725219727,true,true
256,0.01449894905090332,true,true
512,0.0709998607635498,true,true
1024,0.3839991092681885,true,true
MILLER-RABIN - not primes
bits,average time,expected,result
40,0.0005002021789550781,false,false
80,0.0005002021789550781,false,false
128,0.0005002021789550781,false,false
168,0.0005002021789550781,false,false
224,0.0005002021789550781,false,false
256,0.0005002021789550781,false,false
512,0.0015001296997070312,false,false
1024,0.005000114440917969,false,false
